docid	title	curid	revid	url	text_md5
de-72948	Mallorca: Alkoholverbot am Ballermann	72948	630598	https://de.wikinews.org/wiki?curid=72948	9af2f9dbd450a60ece5326c60fb1b650
de-72963	Mitglieder der ukrainischen Protestgruppe Femen verschleppt und verprügelt	72963	630655	https://de.wikinews.org/wiki?curid=72963	0828aa217213d6f69722cf07946b535d
de-72969	Saudischer Kronprinz Naif ibn Abd al-Aziz gestorben	72969	730066	https://de.wikinews.org/wiki?curid=72969	9fec973818304daa6581cfd808c90cda
de-72974	Europas Umweltagentur prangert Gier der Menschen an	72974	630994	https://de.wikinews.org/wiki?curid=72974	a61a4bdc1832efd40cd773164ce52494
de-72976	Heiden demonstrieren gegen das Bonifatius-Denkmal in Fritzlar	72976	631691	https://de.wikinews.org/wiki?curid=72976	f3de3d77ae110135eb7de0c473b7b46a
de-72978	Japan: Wiederinbetriebnahme von zwei Atomreaktoren sorgt für Proteste	72978	684052	https://de.wikinews.org/wiki?curid=72978	5feb9d434871397d16e9b65e63e1bc3b
de-72987	Regensburg: Lebensmüder schießt auf Polizeibeamte	72987	631138	https://de.wikinews.org/wiki?curid=72987	3bc9159bde5b40580c73d1a3b00d274a
de-72992	16-jähriger Schüler im Zürichsee ertrunken	72992	631137	https://de.wikinews.org/wiki?curid=72992	f41462da340f36e4428bda103b1ebe48
de-72996	München Ostbahnhof: Anzeige wegen Erregung öffentlichen Ärgernisses	72996	631705	https://de.wikinews.org/wiki?curid=72996	616d0a506b804c635a8278f687d60364
de-72997	Sand in Taufers: 16-Jähriger samt Fahrrad von Auto erfasst	72997	630973	https://de.wikinews.org/wiki?curid=72997	4a253acf1c54203a520986a7d664fa4e
de-73008	Augsburg: Katholische Kirche verliert Rechtsstreit wegen Kündigung einer lesbischen Erzieherin	73008	631403	https://de.wikinews.org/wiki?curid=73008	f9514a0a9d339c2a6b21b377d1e2ba59
de-73020	Hauptversammlung der aleo solar AG bestätigt Konsolidierung	73020	639344	https://de.wikinews.org/wiki?curid=73020	0ba374edb05da494f603c286dda79426
de-73025	Spanien: Deutscher tödlich beim Paragliding verunglückt	73025	631328	https://de.wikinews.org/wiki?curid=73025	8111b6451d08b3d1e8b04bc9f2a8e33d
de-73028	Tote Frau in Berliner Freibad gefunden	73028	632366	https://de.wikinews.org/wiki?curid=73028	a840d695b9cc8894b7fd994af13e8f6a
de-73033	Mutter des ersten Retortenbabys verstorben	73033	631340	https://de.wikinews.org/wiki?curid=73033	734086111f0cd293ac9ad2a97bad13b7
de-73035	US-amerikanischer Deserteur gibt sich nach 28 Jahren in Schweden zu erkennen	73035	631439	https://de.wikinews.org/wiki?curid=73035	5593b0113f265cb635e53f77ffd43d88
de-73039	Erste Einwohnerfragestunde im Dresdner Stadtrat	73039	631409	https://de.wikinews.org/wiki?curid=73039	f1da5c2f67c95e4417a453a4697e6ac4
de-73042	Weltweit werden 50% der Sprachen bis 2100 aussterben	73042	631351	https://de.wikinews.org/wiki?curid=73042	605548bdd1ef166375fa61eb80bcaca6
de-73046	"Kritik an ""ESM""-Rettungsschirm für Europa geht durch alle Parteien"	73046	631416	https://de.wikinews.org/wiki?curid=73046	d7a92ca72420f5fe1b310ab2e5eea9e8
de-73052	Paraguay: Präsident Fernando Lugo ist seines Amtes enthoben worden	73052	730271	https://de.wikinews.org/wiki?curid=73052	f1a868443431e8c28e239e67ebd59d99
de-73055	Kenia: USA warnen von drohendem Anschlag	73055	631587	https://de.wikinews.org/wiki?curid=73055	40f7a1363f54664474c3a2a8a732836b
de-73056	Zwei Mitglieder der neuen griechischen Regierung gesundheitlich beeinträchtigt	73056	631503	https://de.wikinews.org/wiki?curid=73056	188e1bc835ed78e82a6143a2e4a57b6d
de-73060	Chinesischer EM-Fan stirbt nach 11 Fußball-Nächten	73060	658484	https://de.wikinews.org/wiki?curid=73060	6c4336c51d29fcd7c023eea51a9fb657
de-73066	Kroatien: Tschechischer Reisebus überschlägt sich – 8 Tote und 44 Verletzte	73066	785269	https://de.wikinews.org/wiki?curid=73066	dcd97736e78da6eea2f2d01a4652c2cd
de-73072	Harley-Davidson-Parade fand in Hamburg statt	73072	631684	https://de.wikinews.org/wiki?curid=73072	79fc900a4b2c18e7881aa9dc5a560eb6
de-73078	Immer weniger Menschen können von ihrer Arbeit leben	73078	631783	https://de.wikinews.org/wiki?curid=73078	bfda04d6eeff132275d6fa3283349777
de-73089	Immer mehr Hilfebedürftige benötigen Darlehen	73089	631667	https://de.wikinews.org/wiki?curid=73089	b0ab4fb59b643e0de646752c3f33f216
de-73091	Juristische Winkelzüge und Kuhhandel um den Europäischen Stabilitätsmechanismus und den Fiskalpakt	73091	640252	https://de.wikinews.org/wiki?curid=73091	e7c17cf1528b973da191fdbf2b34fcae
de-73102	Ehestreit in Schäftlarn: Rechtsanwalt ersticht seine Frau	73102	802170	https://de.wikinews.org/wiki?curid=73102	cf8b02c71e947cad132a025360a31441
de-73111	Nigeria: Täglich werden 150.000 Barrel Öl gestohlen	73111	631916	https://de.wikinews.org/wiki?curid=73111	643d29cf13ef03e73ab3ac5754796068
de-73116	Kosovo: 13 Schussverletzte	73116	681358	https://de.wikinews.org/wiki?curid=73116	95e2fabacd412e43d45d1106d49c9d79
de-73121	Tokio: Übereifriger Postbote versenkt Post	73121	631935	https://de.wikinews.org/wiki?curid=73121	3fd71333ca9c17b223cc763a965b27e4
de-73122	Athen: Brandanschlag auf Büros von Microsoft	73122	631947	https://de.wikinews.org/wiki?curid=73122	472c4ebf62bb419cbd5a02449b7fee72
de-73126	Fußball-Europameisterschaft: Italien zieht ins Finale	73126	631927	https://de.wikinews.org/wiki?curid=73126	0f7d39c60eebb1ea95c0d9b7d5db8d80
de-73140	Russland stimmt Transit von Isaf-Gütern im Luftverkehr zu	73140	632010	https://de.wikinews.org/wiki?curid=73140	4ea95851a7694250bb17137d3d60c791
de-73143	Korbach: Drei Frauen vom Blitz erschlagen	73143	679794	https://de.wikinews.org/wiki?curid=73143	655ab39af36869fc70ffe825d8bb17cb
de-73145	Nach dem Urteil in Köln stoppt jüdisches Krankenhaus Beschneidungen aus religiösen Gründen	73145	634100	https://de.wikinews.org/wiki?curid=73145	8e8c95a0ad7c82b2e2e1d1ccb06b5e52
de-73151	München: Start des Sommertollwoods 2012 im Olympiapark	73151	632171	https://de.wikinews.org/wiki?curid=73151	1b696527d3e3345524ab48a6cde3c2b3
de-73153	Serbien: Mammut-Friedhof in Kohlemine entdeckt	73153	632251	https://de.wikinews.org/wiki?curid=73153	144a5c29bf69a319029f5ed24a334f7f
de-73159	Vereinigte Staaten: Juristische Aufarbeitung von „Nipplegate“ abgeschlossen	73159	632550	https://de.wikinews.org/wiki?curid=73159	ed4f40d1606e35a6ef261de465aa23ac
de-73161	Löbnitz: 51 Verletzte durch Blitzeinschlag bei Heavy-Metal-Festival	73161	632221	https://de.wikinews.org/wiki?curid=73161	e2eeb811b38dbc78808a3254da625d63
